zip,county
47906,Tippecanoe
46307,Lake
46143,Johnson
46227,Marion
46032,Hamilton
47150,Floyd
47130,Clark
46226,Marion
47374,Wayne
47201,Bartholomew
46360,La Porte
46038,Hamilton
47909,Tippecanoe
47401,Monroe
46350,La Porte
46383,Porter
47905,Tippecanoe
46514,Elkhart
46060,Hamilton
46140,Hancock
46254,Marion
46385,Porter
46901,Howard
46237,Marion
46033,Hamilton
46368,Porter
46203,Marion
46222,Marion
46112,Hendricks
46410,Lake
46224,Marion
46219,Marion
46217,Marion
46123,Hendricks
46220,Marion
47630,Warrick
46902,Howard
46835,Allen
46168,Hendricks
47802,Vigo
46074,Hamilton
47714,Vanderburgh
46260,Marion
47403,Monroe
46131,Johnson
46526,Elkhart
46235,Marion
47711,Vanderburgh
47304,Delaware
46544,St Joseph
46241,Marion
46530,St Joseph
46151,Morgan
47274,Jackson
46516,Elkhart
46614,St Joseph
46201,Marion
46342,Lake
46239,Marion
47362,Henry
46142,Johnson
46825,Allen
46077,Boone
46218,Marion
46229,Marion
46236,Marion
46804,Allen
46815,Allen
46312,Lake
46947,Cass
46176,Shelby
46205,Marion
47933,Montgomery
47421,Lawrence
46528,Elkhart
46234,Marion
47203,Bartholomew
47712,Vanderburgh
46221,Marion
46750,Huntington
46517,Elkhart
46628,St Joseph
47715,Vanderburgh
47302,Delaware
47408,Monroe
46268,Marion
47591,Knox
46304,Porter
47303,Delaware
46806,Allen
46545,St Joseph
46214,Marion
46256,Marion
47404,Monroe
46563,Marshall
46375,Lake
46970,Miami
46953,Grant
46725,Whitley
46158,Morgan
46208,Marion
46845,Allen
47025,Dearborn
46321,Lake
46322,Lake
46052,Boone
47331,Fayette
46041,Clinton
47250,Jefferson
46323,Lake
46580,Kosciusko
47240,Decatur
46324,Lake
46805,Allen
46311,Lake
47546,Dubois
46619,St Joseph
47803,Vigo
46818,Allen
46202,Marion
46135,Putnam
47265,Jennings
46808,Allen
46012,Madison
46240,Marion
47129,Clark
47834,Clay
46816,Allen
46733,Adams
47710,Vanderburgh
46706,De Kalb
46952,Grant
46250,Marion
46703,Steuben
46016,Madison
46404,Lake
47501,Daviess
47172,Clark
47720,Vanderburgh
46356,Lake
46807,Allen
46319,Lake
47725,Vanderburgh
47904,Tippecanoe
46774,Allen
46064,Madison
46013,Madison
46011,Madison
47111,Clark
47112,Harrison
46228,Marion
46122,Hendricks
46992,Wabash
46637,St Joseph
46373,Lake
46408,Lake
46113,Marion
46755,Noble
46714,Wells
47170,Scott
47167,Washington
46303,Lake
47960,White
46975,Fulton
46184,Johnson
47601,Warrick
46310,Jasper
46615,St Joseph
46561,St Joseph
46320,Lake
46582,Kosciusko
46403,Lake
47620,Posey
46163,Hancock
46107,Marion
46814,Allen
46055,Hancock
46550,Elkhart
47805,Vigo
46040,Hancock
46761,Lagrange
46394,Lake
47371,Jay
47670,Gibson
47807,Vigo
46540,Elkhart
47006,Ripley
47804,Vigo
47119,Floyd
46534,Starke
46036,Madison
47978,Jasper
46327,Lake
46613,St Joseph
47586,Perry
46259,Marion
47122,Floyd
47460,Owen
46407,Lake
46405,Lake
46802,Allen
47446,Lawrence
46341,Porter
46231,Marion
47713,Vanderburgh
47542,Dubois
47001,Dearborn
46001,Madison
46173,Rush
46506,Marshall
46617,St Joseph
46819,Allen
47842,Vermillion
46391,La Porte
46574,St Joseph
46507,Elkhart
46803,Allen
47012,Franklin
47429,Monroe
46809,Allen
46567,Kosciusko
47348,Blackford
47441,Greene
46406,Lake
47424,Greene
46124,Johnson
47885,Vigo
46278,Marion
46962,Wabash
46711,Adams
47872,Parke
46565,Lagrange
47553,Martin
46072,Tipton
46738,De Kalb
46204,Marion
47394,Randolph
46767,Noble
46701,Noble
46923,Carroll
46723,Whitley
46392,Jasper
47882,Sullivan
46737,Steuben
46556,St Joseph
47448,Brown
46069,Hamilton
46409,Lake
46167,Hendricks
47454,Orange
47102,Scott
46552,St Joseph
47396,Delaware
46106,Johnson
46280,Hamilton
46795,Lagrange
46783,Huntington
46034,Hamilton
47041,Ripley
46075,Boone
46777,Wells
46635,St Joseph
46160,Brown
46402,Lake
46996,Pulaski
46933,Grant
47567,Pike
47165,Washington
47060,Dearborn
47243,Jefferson
46936,Howard
46017,Madison
46601,St Joseph
46571,Lagrange
47918,Fountain
47220,Jackson
46366,Starke
46225,Marion
46765,Allen
46148,Henry
46121,Hendricks
47353,Union
47031,Ripley
46616,St Joseph
47610,Warrick
47635,Spencer
47452,Orange
46120,Putnam
47932,Fountain
46181,Johnson
47356,Henry
47043,Switzerland
47330,Wayne
47124,Floyd
47040,Ohio
47306,Delaware
46721,De Kalb
46118,Hendricks
46748,Allen
46562,Kosciusko
47106,Clark
47390,Randolph
46126,Shelby
46989,Grant
46979,Howard
46590,Kosciusko
46554,St Joseph
46793,De Kalb
47660,Gibson
46347,Porter
47462,Lawrence
47562,Daviess
47126,Clark
46746,Lagrange
47558,Daviess
47246,Bartholomew
46741,Allen
47037,Ripley
47117,Harrison
47327,Wayne
47136,Harrison
47018,Dearborn
47438,Greene
47432,Orange
47138,Scott
47532,Dubois
46511,Marshall
46710,Noble
46928,Grant
47639,Gibson
47648,Gibson
46538,Kosciusko
46164,Johnson
46542,Kosciusko
47164,Harrison
46157,Morgan
47512,Knox
47042,Ripley
47987,Fountain
47433,Owen
47406,Monroe
46510,Kosciusko
46797,Allen
47346,Wayne
46740,Adams
46787,Whitley
46573,Elkhart
47838,Sullivan
46792,Huntington
47665,Gibson
46504,Marshall
46788,De Kalb
47581,Martin
47901,Tippecanoe
47024,Franklin
47405,Monroe
47993,Warren
47320,Delaware
46501,Marshall
47459,Greene
47879,Sullivan
46543,Elkhart
47638,Posey
47305,Delaware
47118,Crawford
46065,Clinton
47944,Benton
46773,Allen
46910,Fulton
47523,Spencer
46390,La Porte
47232,Bartholomew
47161,Harrison
46742,Steuben
47229,Jackson
46349,Newton
46371,La Porte
46732,Noble
47336,Jay
46553,Elkhart
47613,Warrick
47923,White
46536,St Joseph
46147,Boone
47874,Parke
47283,Decatur
47334,Delaware
46071,Boone
46044,Madison
47383,Delaware
47032,Dearborn
46929,Carroll
46772,Adams
47868,Clay
47143,Clark
47598,Pike
46932,Cass
46770,Huntington
47115,Harrison
47359,Blackford
47340,Randolph
47022,Dearborn
46030,Hamilton
47952,Fountain
46938,Grant
47959,White
46068,Tipton
47368,Randolph
46051,Madison
46994,Cass
46539,Kosciusko
47338,Delaware
47520,Perry
47355,Randolph
47471,Greene
46130,Shelby
46982,Kosciusko
46940,Wabash
47579,Spencer
46161,Shelby
46172,Putnam
47140,Crawford
47342,Delaware
46031,Hamilton
47809,Vigo
46058,Clinton
47954,Montgomery
46919,Miami
46555,Kosciusko
47373,Jay
47633,Posey
47341,Wayne
47634,Spencer
47108,Washington
46070,Madison
46216,Marion
47977,Jasper
47841,Clay
47227,Jennings
46747,Steuben
47920,Tippecanoe
47850,Sullivan
46056,Madison
47513,Dubois
47631,Posey
47273,Jennings
47326,Jay
47272,Decatur
47946,Pulaski
47951,Newton
46166,Morgan
46784,Noble
46149,Hendricks
46745,Allen
46779,Steuben
46978,Cass
46050,Clinton
46524,Kosciusko
46048,Madison
46974,Wabash
46702,Huntington
47963,Newton
46743,Allen
47384,Henry
47030,Franklin
47928,Vermillion
46115,Rush
47990,Montgomery
47971,Benton
47527,Dubois
47145,Crawford
47957,Pulaski
46763,Noble
46951,Miami
47615,Spencer
47840,Clay
47469,Orange
47393,Wayne
46128,Putnam
46939,Fulton
47666,Gibson
46105,Putnam
46917,Carroll
47970,Benton
46171,Putnam
47619,Warrick
47940,Montgomery
46914,Miami
47038,Switzerland
46776,Steuben
46382,La Porte
46794,Noble
47260,Jackson
46785,De Kalb
46986,Grant
46705,De Kalb
47995,White
47023,Ripley
46186,Hancock
47561,Knox
47848,Sullivan
46991,Grant
47557,Knox
47431,Owen
47470,Lawrence
46531,Starke
47922,Newton
47514,Perry
47125,Washington
47141,Clark
46532,Starke
46182,Shelby
46165,Hendricks
46798,Allen
47166,Harrison
47468,Monroe
47649,Gibson
47137,Crawford
47611,Spencer
47235,Jackson
47948,Newton
46911,Miami
47926,White
47380,Randolph
47234,Shelby
46076,Tipton
47230,Jefferson
46985,Pulaski
47020,Switzerland
47989,Montgomery
47345,Wayne
47941,Tippecanoe
47862,Parke
46764,Whitley
46760,Noble
47436,Lawrence
47992,Tippecanoe
47456,Owen
47369,Jay
47930,Tippecanoe
47637,Warrick
46926,Miami
47385,Henry
47443,Greene
47147,Clark
46057,Clinton
47360,Henry
46156,Rush
47177,Clark
47281,Jackson
46035,Clinton
47564,Pike
47577,Spencer
47163,Clark
47949,Fountain
46346,La Porte
47386,Henry
47264,Jackson
47541,Dubois
47847,Vermillion
47974,Vermillion
47529,Daviess
46150,Rush
47921,Benton
47981,Tippecanoe
47451,Lawrence
46920,Carroll
47516,Knox
47640,Gibson
47943,Jasper
46049,Tipton
47354,Randolph
46960,Pulaski
47358,Randolph
47832,Parke
47142,Harrison
